entryid,childDownloadUrl,parentDownloadUrl,name,result
1_g9golam6,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_drcpawqw/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_g9golam6/format/download/protocol/https/flavorParamIds/0,WR1-HS20/21_Denis Fux,OK
1_xl0fp60g,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_pz4el72l/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_xl0fp60g/format/download/protocol/https/flavorParamIds/0,WR1_Lukas_Oberholzer,OK
1_5r2c9xyz,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vc4zksmy/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_5r2c9xyz/format/download/protocol/https/flavorParamIds/0,"Kaltura Capture recording - Januar 23. 2021, 1:43:34 pm",OK
1_czjyy0wi,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_2ctkunfr/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_czjyy0wi/format/download/protocol/https/flavorParamIds/0,WR_Davide Leggio_23.01.2021,OK
1_x5w4wn1c,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_y93prifm/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_x5w4wn1c/format/download/protocol/https/flavorParamIds/0,BWL_Victoria Sampl,OK
1_68ea56zn,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_qqur3x4q/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_68ea56zn/format/download/protocol/https/flavorParamIds/0,BWL1_Laura_Gegic,OK
1_pp3sytrb,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vjnigp4c/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_pp3sytrb/format/download/protocol/https/flavorParamIds/0,BWL1_Eduardo_Fanciulli,OK
1_l5vj5omj,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_nld1hj65/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_l5vj5omj/format/download/protocol/https/flavorParamIds/0,"BWL1 HS20/21 Laura Da Vià - Januar 23. 2021, 9:05:09 am",OK
1_l3n0czlr,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ksy5ezri/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_l3n0czlr/format/download/protocol/https/flavorParamIds/0,"BWL_Danijela_Pesikan - Januar 23. 2021, 9:12:42 am",OK
1_m2j8as7r,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ya3e742g/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_m2j8as7r/format/download/protocol/https/flavorParamIds/0,BWL1_Anastasiia_Vollmar,OK
